SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
24227,75105,1,Star Wars,The Force Awakens,2015,Millennium Falcon,7,1329,129.99,149.99,179.99,149.99,http://images.brickset.com/sets/images/75105-1.jpg,No,No,0
3832,7191,1,Star Wars,Ultimate Collector Series,2000,X-wing Fighter,1,1300,,150,,,http://images.brickset.com/sets/images/7191-1.jpg,No,No,0
8592,7965,1,Star Wars,Episode IV,2011,Millennium Falcon,6,1254,132.99,139.99,179.99,149.99,http://images.brickset.com/sets/images/7965-1.jpg,No,No,0
24228,75106,1,Star Wars,Rebels,2015,Imperial Assault Carrier,6,1216,99.99,129.99,149.99,129.99,http://images.brickset.com/sets/images/75106-1.jpg,No,No,0
5535,10175,1,Star Wars,Ultimate Collector Series,2006,Vader's TIE Advanced,,1212,79.99,99.99,,,http://images.brickset.com/sets/images/10175-1.jpg,No,No,0
10228,75021,1,Star Wars,Episode II,2013,Republic Gunship,7,1175,109.99,119.99,149.99,129.99,http://images.brickset.com/sets/images/75021-1.jpg,No,No,0
6940,8039,1,Star Wars,The Clone Wars,2009,Venator-Class Republic Attack Cruiser,5,1170,102.99,119.99,149.99,139.99,http://images.brickset.com/sets/images/8039-1.jpg,No,No,0
23751,66512,1,Star Wars,Product Collection,2014,Rebels Co-Pack,,1163,,109.99,,,http://images.brickset.com/sets/images/66512-1.jpg,No,No,0
7581,8098,1,Star Wars,The Clone Wars,2010,Clone Turbo Tank,6,1141,102.99,119.99,159.99,129.99,http://images.brickset.com/sets/images/8098-1.jpg,No,No,0
23364,75054,1,Star Wars,Episode V,2014,AT-AT,5,1138,109.99,109.99,129.99,119.99,http://images.brickset.com/sets/images/75054-1.jpg,No,No,0
6111,10178,1,Star Wars,Episode V,2007,Motorised Walking AT-AT,4,1137,89.99,129.99,159.99,,http://images.brickset.com/sets/images/10178-1.jpg,No,No,0
9201,9515,1,Star Wars,The Clone Wars,2012,Malevolence,6,1092,99.99,119.99,149.99,119.99,http://images.brickset.com/sets/images/9515-1.jpg,No,No,0
23694,66479,1,Star Wars,Product Collection,2014,Value Pack,,1087,,,,,http://images.brickset.com/sets/images/66479-1.jpg,No,No,0
6528,10186,1,Star Wars,Ultimate Collector Series,2008,General Grievous,,1085,63.59,89.99,,,http://images.brickset.com/sets/images/10186-1.jpg,No,No,0
3833,7194,1,Star Wars,Ultimate Collector Series,2002,Yoda,,1075,79.99,100,,,http://images.brickset.com/sets/images/7194-1.jpg,No,No,0
2144,4483,1,Star Wars,Episode V,2003,AT-AT,4,1068,89.99,100,,,http://images.brickset.com/sets/images/4483-1.jpg,No,No,0
